what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.copy",1353198872186
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198875741
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.findReplace",1353198875779
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1353198877621
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198888801
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198891653
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198895718
started,bundle,org.eclipse.wb.core.lib,1.5.0.r42x201206111201,"org.eclipse.wb.core.lib",1353198897573
started,bundle,org.eclipse.wb.core,1.5.0.r42x201206111201,"org.eclipse.wb.core",1353198897578
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353198897676
started,bundle,org.eclipse.mylyn.java.tasks,3.8.0.v20120612-0600,"org.eclipse.mylyn.java.tasks",1353198897899
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198899674
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198927190
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353198958039
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198960268
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198968450
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353198978300
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198980136
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353198998078
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1353199027414
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1353199027596
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordPrevious",1353199028960
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordPrevious",1353199029370
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordNext",1353199030034
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordNext",1353199031196
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordNext",1353199031749
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordNext",1353199032296
started,bundle,org.eclipse.pde.api.tools,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools",1353199037278
started,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools.ui",1353199037281
started,bundle,org.eclipse.mylyn.java.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.java.ui",1353199037306
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353199040047
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353199041985
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353199051427
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1353199057726
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1353199057928
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1353199058354
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1353199058786
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353199064222
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353199082514
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353199118071
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.PackageExplorer",1353199121422
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353199198785
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353199200654
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353261446380
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1353261446495
